experiment,model,input,auc,accuracy,f1,sensitivity,specificity,true_negative,false_positive,false_negative,true_positive,note
Stanford A,EfficientNet-B0,5 representative ultrasound frames per patient,0.703704,0.862069,0.333333,0.5,0.888889,,,,,"Patient-level averaging across 5 frames"
Stanford B,Hybrid EfficientNet-B0 + TI-RADS branch,5 representative ultrasound frames per patient + ACR TI-RADS descriptors,0.944444,0.931034,0.666667,1.0,0.925926,,,,,"Preliminary: Stanford test set had only 2 malignant patients"
